,Astrocyte,Chandelier,Endothelial,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,Microglia-PVM,OPC,Oligodendrocyte,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
Astrocyte,14.7396,0.147628,0.701399,5.65557,-5.32401,-1.09731,-3.4597,0.0956894,-1.35064,0.17412,0.810292,-1.15872,3.64819,0.767966,2.89102,-0.641848,-16.6846,2.14425,1.63393,3.54741,0.122942,-0.0139106,-0.43155,2.54244
Chandelier,0.147628,7.66612,0.671257,3.83345,7.09701,-0.370462,0.687928,-0.614387,-1.0424,-0.48815,-0.56229,-1.11926,0.937443,0.857964,-0.886646,-0.41297,-6.88343,0.239098,1.673,0.331436,0.771647,0.0915797,0.377943,1.98026
Endothelial,0.701399,0.671257,13.1786,7.01319,-0.486344,-0.441931,-1.42825,0.0131835,-3.259,-2.81302,-0.632889,-3.49497,1.6164,0.105468,4.71776,-0.391818,-18.8266,0.642087,2.12493,1.88043,0.743269,-0.491961,23.071,2.87404
L2/3 IT,5.65557,3.83345,7.01319,88.044,-16.3234,-5.67911,-27.1923,-9.95599,-13.7285,-18.6873,-9.7003,-14.9218,6.42576,4.96226,2.28389,-1.13027,-55.3246,4.79671,9.93327,10.8947,2.93966,0.603273,4.39849,30.2302
L4 IT,-5.32401,7.09701,-0.486344,-16.3234,85.4337,3.33789,31.2002,-2.57181,-10.4444,-13.8009,-5.72702,-10.9921,3.26894,0.561313,-10.5891,-6.30361,-35.6231,-2.81337,9.96814,-4.18029,8.00716,-1.83495,-1.89756,-1.86302
L5 ET,-1.09731,-0.370462,-0.441931,-5.67911,3.33789,45.1763,12.2527,7.83375,-1.3886,0.146421,0.350048,-1.16441,-0.00881351,0.589535,-2.29572,-1.13747,-8.32657,-0.594164,0.770129,-1.10337,1.24949,-0.128311,-0.606016,-1.53633
L5 IT,-3.4597,0.687928,-1.42825,-27.1923,31.2002,12.2527,60.7184,18.3821,-5.85019,-1.17575,7.86527,-4.68586,-1.03955,0.653092,-7.42597,-3.60653,-28.6255,-2.43956,4.81654,-4.61052,6.07543,-1.76499,-2.45491,-6.27762
L5/6 NP,0.0956894,-0.614387,0.0131835,-9.95599,-2.57181,7.83375,18.3821,23.2092,-0.00318895,1.11828,4.95159,0.346329,-1.00651,0.387646,-1.90128,-0.0917847,-8.22736,-0.551283,1.87841,-1.57888,2.92142,-0.403873,-0.768245,-2.52241
L6 CT,-1.35064,-1.0424,-3.259,-13.7285,-10.4444,-1.3886,-5.85019,-0.00318895,26.3656,16.8871,6.60124,13.6376,-2.57363,-0.0291664,-1.39679,0.417149,5.35562,-1.20797,-3.53725,-2.43979,-1.63458,0.304061,-3.16154,-4.97308
L6 IT,0.17412,-0.48815,-2.81302,-18.6873,-13.8009,0.146421,-1.17575,1.11828,16.8871,52.6962,16.1415,15.7686,-3.49408,1.48118,-4.36339,-0.0701541,-11.5591,-2.10129,-3.78872,-3.79703,0.408818,-0.263513,-3.43268,-6.87587
L6 IT Car3,0.810292,-0.56229,-0.632889,-9.7003,-5.72702,0.350048,7.86527,4.95159,6.60124,16.1415,36.9236,7.00946,-1.20673,1.424,-2.90162,-0.995959,-15.8466,-1.13798,0.606744,-2.14605,1.71785,0.349601,-1.05794,-3.45825
