,Astrocyte,Chandelier,Endothelial,L2/3 IT,L4 IT,L5 ET,L5 IT,L5/6 NP,L6 CT,L6 IT,L6 IT Car3,L6b,Lamp5,Lamp5 Lhx6,Microglia-PVM,OPC,Oligodendrocyte,Pax6,Pvalb,Sncg,Sst,Sst Chodl,VLMC,Vip
Astrocyte,3.12448,0.183162,0.358381,1.08471,0.659393,0.241241,0.682652,0.267086,0.382541,0.506033,0.35639,0.382637,0.356486,0.217744,0.353221,0.415079,2.15252,0.264951,0.314964,0.34504,0.297485,0.288493,0.425317,0.397123
Chandelier,0.183162,2.30284,0.159906,0.359924,0.53786,0.148159,0.265438,0.141871,0.139451,0.231969,0.166884,0.151952,0.152633,0.148797,0.167172,0.136788,0.473199,0.185723,0.260701,0.255917,0.166614,0.158247,0.170427,0.219907
Endothelial,0.358381,0.159906,2.62278,0.759109,0.644912,0.200513,0.570922,0.25396,0.279168,0.432012,0.35644,0.299369,0.229739,0.213153,0.430225,0.243448,1.46844,0.173428,0.374228,0.249886,0.284813,0.221572,1.52852,0.31922
L2/3 IT,1.08471,0.359924,0.759109,4.63963,1.32902,0.458422,1.79842,0.623516,0.707734,0.904797,0.557417,0.812956,0.579228,0.593853,0.72996,0.60451,3.43501,0.37291,0.868947,0.53924,0.488654,0.462495,0.75098,1.35016
L4 IT,0.659393,0.53786,0.644912,1.32902,4.59138,0.643869,1.7355,0.35718,0.432751,0.61574,0.409701,0.446103,0.470346,0.370259,0.695371,0.48753,2.38391,0.252861,0.815401,0.456553,0.657541,0.287296,0.537471,0.574235
L5 ET,0.241241,0.148159,0.200513,0.458422,0.643869,3.78772,0.739502,0.78827,0.165209,0.348193,0.239285,0.167719,0.266887,0.207934,0.225917,0.213341,0.766347,0.11953,0.265684,0.14785,0.223746,0.178631,0.215875,0.227307
L5 IT,0.682652,0.265438,0.570922,1.79842,1.7355,0.739502,4.40931,0.888285,0.407187,0.651994,0.658105,0.456558,0.578257,0.345461,0.707103,0.464433,2.10073,0.283915,0.561566,0.387451,0.527654,0.253605,0.528994,0.577378
L5/6 NP,0.267086,0.141871,0.25396,0.623516,0.35718,0.78827,0.888285,2.85919,0.236591,0.352291,0.327572,0.230956,0.220705,0.163235,0.262337,0.184536,0.826075,0.162643,0.251927,0.203077,0.33382,0.135383,0.221348,0.221422
L6 CT,0.382541,0.139451,0.279168,0.707734,0.432751,0.165209,0.407187,0.236591,3.93386,0.768266,0.720578,0.857305,0.227343,0.220813,0.321301,0.242759,1.03165,0.139382,0.215383,0.166048,0.212678,0.219107,0.256833,0.275031
L6 IT,0.506033,0.231969,0.432012,0.904797,0.61574,0.348193,0.651994,0.352291,0.768266,4.2364,1.01383,0.635512,0.367112,0.281237,0.505952,0.360066,1.99692,0.181976,0.275709,0.24476,0.445465,0.237038,0.379825,0.353746
L6 IT Car3,0.35639,0.166884,0.35644,0.557417,0.409701,0.239285,0.658105,0.327572,0.720578,1.01383,3.42755,0.589102,0.24535,0.22072,0.35614,0.256644,1.59377,0.161391,0.249132,0.221615,0.299919,0.477787,0.308602,0.243622
L6b,0.382637,0.151952,0.299369,0.812956,0.446103,0.167719,0.456558,0.230956,0.857305,0.635512,0.589102,4.08481,0.247881,0.219377,0.320584,0.284845,1.04348,0.170699,0.229405,0.203841,0.288307,0.209302,0.30937,0.289318
Lamp5,0.356486,0.152633,0.229739,0.579228,0.470346,0.266887,0.578257,0.220705,0.227343,0.367112,0.24535,0.247881,1.95223,0.307863,0.386645,0.197889,0.736053,0.340607,0.28241,0.522402,0.20454,0.275241,0.229865,0.258404
Lamp5 Lhx6,0.217744,0.148797,0.213153,0.593853,0.370259,0.207934,0.345461,0.163235,0.220813,0.281237,0.22072,0.219377,0.307863,2.09943,0.19927,0.170694,0.764738,0.133115,0.231651,0.194614,0.179741,0.184956,0.212867,0.230863
Microglia-PVM,0.353221,0.167172,0.430225,0.72996,0.695371,0.225917,0.707103,0.262337,0.321301,0.505952,0.35614,0.320584,0.386645,0.19927,2.39173,0.296873,1.63225,0.2442,0.315944,0.399485,0.25927,0.212778,0.34993,0.238211
OPC,0.415079,0.136788,0.243448,0.60451,0.48753,0.213341,0.464433,0.184536,0.242759,0.360066,0.256644,0.284845,0.197889,0.170694,0.296873,2.82291,0.9353,0.165678,0.213004,0.195526,0.172145,0.173085,0.248987,0.257077
Oligodendrocyte,2.15252,0.473199,1.46844,3.43501,2.38391,0.766347,2.10073,0.826075,1.03165,1.99692,1.59377,1.04348,0.736053,0.764738,1.63225,0.9353,5.71354,0.43756,1.20417,0.655819,0.883479,0.540429,1.29713,1.12067
Pax6,0.264951,0.185723,0.173428,0.37291,0.252861,0.11953,0.283915,0.162643,0.139382,0.181976,0.161391,0.170699,0.340607,0.133115,0.2442,0.165678,0.43756,2.06812,0.188387,0.687041,0.140921,0.165124,0.176751,0.224311
Pvalb,0.314964,0.260701,0.374228,0.868947,0.815401,0.265684,0.561566,0.251927,0.215383,0.275709,0.249132,0.229405,0.28241,0.231651,0.315944,0.213004,1.20417,0.188387,2.62504,0.264328,0.3438,0.169065,0.293435,0.340437
Sncg,0.34504,0.255917,0.249886,0.53924,0.456553,0.14785,0.387451,0.203077,0.166048,0.24476,0.221615,0.203841,0.522402,0.194614,0.399485,0.195526,0.655819,0.687041,0.264328,2.32755,0.222453,0.18021,0.269191,0.424663
