section,donor,n_cells,n_niches,largest_niche_fraction,smallest_niche_fraction
H20.33.035.Cx26.MTG.02.007.1.01.03,H20.33.035,46620,8,0.194938,0.0867653
H21.33.038.Cx20.MTG.02.007.3.01.02,H21.33.038,9483,8,0.209638,0.0749763
H20.33.004.Cx26.MTG.02.007.1.01.05,H20.33.004,24596,8,0.210766,0.0426899
H21.33.023.Cx26.MTG.02.007.1.03.05,H21.33.023,18139,8,0.208446,0.0618557
H20.33.004.Cx26.MTG.02.007.1.02.03,H20.33.004,39406,8,0.212379,0.0520987
H21.33.001.Cx22.MTG.02.007.1.01.04,H21.33.001,35863,8,0.196888,0.083345
H21.33.025.CX26.MTG.02.007.4.01.04,H21.33.025,27943,8,0.201303,0.0588341
H20.33.004.Cx26.MTG.02.007.1.01.04,H20.33.004,29678,8,0.197048,0.0347732
H20.33.001.Cx28.MTG.02.007.1.01.03,H20.33.001,62045,8,0.329632,0.037505
H21.33.025.CX26.MTG.02.007.4.01.06,H21.33.025,31859,8,0.197809,0.0682382
H21.33.032.CX24.MTG.02.007.1.01.04,H21.33.032,18085,8,0.163561,0.0868123
H21.33.031.CX24.MTG.02.007.1.01.02,H21.33.031,74740,8,0.17993,0.0651191
H21.33.019.Cx30.MTG.02.007.5.0,H21.33.019,18937,8,0.192375,0.069916
H20.33.004.Cx26.MTG.02.007.1.02.02,H20.33.004,33937,8,0.2253,0.0408404
H21.33.016.Cx26.MTG.02.007.3.01.02,H21.33.016,17587,8,0.179621,0.0894411
H20.33.040.Cx25.MTG.02.007.1.01.04,H20.33.040,27161,8,0.176429,0.0723464
H21.33.019.Cx30.MTG.02.007.5.1,H21.33.019,19158,8,0.191721,0.0646205
H20.33.012.Cx24.MTG.02.007.1.03.02,H20.33.012,19651,8,0.172561,0.0868149
H21.33.016.Cx26.MTG.02.007.3.01.01,H21.33.016,18439,8,0.175986,0.0811866
H20.33.025.Cx28.MTG.02.007.1.01.04,H20.33.025,19793,8,0.190471,0.0952862
H20.33.035.Cx26.MTG.02.007.1.01.04,H20.33.035,45441,8,0.20882,0.0741401
H21.33.031.CX24.MTG.02.007.1.01.01,H21.33.031,128300,8,0.20516,0.0523149
H21.33.015.Cx26.MTG.02.007.1.2,H21.33.015,25847,8,0.234689,0.0712268
H20.33.001.CX28.MTG.02.007.1.02.03,H20.33.001,64448,8,0.254826,0.0412736
H21.33.005.Cx18.MTG.02.007.02.03,H21.33.005,9755,8,0.168529,0.0881599
H20.33.025.Cx28.MTG.02.007.1.01.06,H20.33.025,15583,8,0.167426,0.0880447
H21.33.001.Cx22.MTG.02.007.1.01.03,H21.33.001,34656,8,0.17867,0.0560942
H21.33.023.Cx26.MTG.02.007.1.03.01,H21.33.023,13997,8,0.218047,0.0656569
H21.33.040.Cx22.MTG.02.007.3.03.03,H21.33.040,41174,8,0.226356,0.0594307
H21.33.028.Cx28.MTG.02.007.1.02.02,H21.33.028,8244,8,0.246967,0.0691412
H20.33.001.CX28.MTG.02.007.1.02.02,H20.33.001,61893,8,0.253244,0.0545296
H21.33.038.Cx20.MTG.02.007.3.01.04,H21.33.038,12859,8,0.202971,0.0660238
H21.33.012.Cx26.MTG.02.007.1.01.05,H21.33.012,17447,8,0.254313,0.0678627
H20.33.015.CX24.MTG.02.007.1.03.02,H20.33.015,67970,8,0.267206,0.0621745
H20.33.040.Cx25.MTG.02.007.1.01.03,H20.33.040,22024,8,0.190156,0.0804123
H20.33.044.Cx26.MTG.02.007.1.01.04,H20.33.044,22158,8,0.178355,0.0734723
H21.33.025.CX26.MTG.02.007.4.01.02,H21.33.025,31447,8,0.200337,0.0501797
H20.33.044.Cx26.MTG.02.007.1.01.03,H20.33.044,20894,8,0.162583,0.0698287
