type_a,type_b,mean_z,sem_z
L4 IT,L5 IT,31.2002,1.7355
L2/3 IT,Vip,30.2302,1.35016
Endothelial,VLMC,23.071,1.52852
L5 IT,L5/6 NP,18.3821,0.888285
L6 CT,L6 IT,16.8871,0.768266
L6 IT,L6 IT Car3,16.1415,1.01383
L6 IT,L6b,15.7686,0.635512
L6 CT,L6b,13.6376,0.857305
L5 ET,L5 IT,12.2527,0.739502
L2/3 IT,Sncg,10.8947,0.53924
L4 IT,Pvalb,9.96814,0.815401
L2/3 IT,Pvalb,9.93327,0.868947
L4 IT,Sst,8.00716,0.657541
L5 IT,L6 IT Car3,7.86527,0.658105
L5 ET,L5/6 NP,7.83375,0.78827
Chandelier,L4 IT,7.09701,0.53786
Endothelial,L2/3 IT,7.01319,0.759109
L6 IT Car3,L6b,7.00946,0.589102
Pax6,Sncg,6.86717,0.687041
L6 CT,L6 IT Car3,6.60124,0.720578
L2/3 IT,Lamp5,6.42576,0.579228
L5 IT,Sst,6.07543,0.527654
Lamp5,Sncg,5.66201,0.522402
Astrocyte,L2/3 IT,5.65557,1.08471
Microglia-PVM,VLMC,5.49567,0.34993
L6 CT,Oligodendrocyte,5.35562,1.03165
L2/3 IT,Lamp5 Lhx6,4.96226,0.593853
L5/6 NP,L6 IT Car3,4.95159,0.327572
L5 IT,Pvalb,4.81654,0.561566
L2/3 IT,Pax6,4.79671,0.37291
Endothelial,Microglia-PVM,4.71776,0.430225
L2/3 IT,VLMC,4.39849,0.75098
Sncg,Vip,4.26757,0.424663
Pvalb,Vip,4.25172,0.340437
Pvalb,Sst,3.88845,0.3438
Chandelier,L2/3 IT,3.83345,0.359924
Microglia-PVM,Sncg,3.77477,0.399485
Astrocyte,Lamp5,3.64819,0.356486
Astrocyte,Sncg,3.54741,0.34504
L4 IT,L5 ET,3.33789,0.643869
L4 IT,Lamp5,3.26894,0.470346
L6b,Oligodendrocyte,3.24354,1.04348
Lamp5,Vip,2.9788,0.258404
L2/3 IT,Sst,2.93966,0.488654
L5/6 NP,Sst,2.92142,0.33382
Astrocyte,Microglia-PVM,2.89102,0.353221
Endothelial,Vip,2.87404,0.31922
Lamp5,Pax6,2.81129,0.340607
Astrocyte,Vip,2.54244,0.397123
L2/3 IT,Microglia-PVM,2.28389,0.72996
Astrocyte,Pax6,2.14425,0.264951
Endothelial,Pvalb,2.12493,0.374228
Lamp5,Pvalb,2.05158,0.28241
VLMC,Vip,2.0457,0.292031
Sncg,VLMC,2.04349,0.269191
Chandelier,Vip,1.98026,0.219907
Sst,Vip,1.97776,0.214109
Endothelial,Sncg,1.88043,0.249886
Lamp5,Microglia-PVM,1.8803,0.386645
L5/6 NP,Pvalb,1.87841,0.251927
